nom_ev;adresse;nom_gerant;type_espace_vert;type_jardin_partage;domaine;proprietaire_terrain;statut_plu;amenagements;mail_1;mail_2;internet_1;internet_2;date_fermeture;geo_shape;geo_point_2d
Les Jardins du Ruisseau;PC 18 Clignancourt, 108 rue du Ruisseau;Les Amis des Jardins du Ruisseau;;Autre;Hors Ville de Paris;RFF loué à la Ville;Zone urbaine de grands services urbains;composteur cabane Récupération d'eau ruches poulailler aquaponie bassin aquatique;contact@lesjardinsduruisseau.org;;https://www.facebook.com/jardinsduruisseau;http://lesjardinsduruisseau.fr/;;"{""coordinates"": [2.342263705682592, 48.89701991455417], ""type"": ""Point""}";48.89701991455417, 2.342263705682592
Jardin Saint Serge;Eglise St Serge 93 rue de Crimée;Jardin Saint Serge;;Autre;Hors Ville de Paris;Institut de Théologie Orthodoxe Saint Serge;ZUGEVPBâtiment protégé;composteur Récupération d'eau broyeur;jpp.lejardinier@free.fr;;http://www.jardin-saintserge.fr/;;;"{""coordinates"": [2.384489762001406, 48.88382658817877], ""type"": ""Point""}";48.88382658817877, 2.384489762001406
Jardin Saint Laurent;119 rue du Faubourg St Martin;Emmaüs solidarité;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane;jardinsinsertion@emmaus.asso.fr;;https://www.emmaus-solidarite.org/;;;"{""coordinates"": [2.358534147859011, 48.87447065461863], ""type"": ""Point""}";48.87447065461863, 2.358534147859011
Jardin Bel-Air;Square Charles Péguy 21 rue Rottembourg;Graine de partage;Conseil d'arrondissement;Conseil d'arrondissement;Hors Ville de Paris;DEVE + RFF;ZUV;composteur cabane mare bac surélevé;grainedp@yahoo.fr;;;;;"{""coordinates"": [2.406549295245265, 48.83849258921216], ""type"": ""Point""}";48.83849258921216, 2.406549295245265
Jardin Partagé des Olympiades;Dalle des Olympiades;Association Jardin Partagé Olympiades;;Autre;Hors Ville de Paris;Paris Habitat;ZUG;cloture cabane;jardinolympiades@gmail.com;;https://www.facebook.com/jardinolympiades;;;"{""coordinates"": [2.364514049887955, 48.82585518723297], ""type"": ""Point""}";48.82585518723297, 2.364514049887955
Jardin des couleurs;1 rue des Mariniers;Jardins des couleurs;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;local composteur table surélevé pour fauteuils;jardinsdescouleurs@gmail.com;;;;;"{""coordinates"": [2.3115373185997203, 48.8276105919817], ""type"": ""Point""}";48.8276105919817, 2.3115373185997203
Brassens;2 place Jacques Marette;école élémentaire 15 rue de Cherbourg;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;;;;;;;"{""coordinates"": [2.2999123781531723, 48.832643577800184], ""type"": ""Point""}";48.832643577800184, 2.2999123781531723
Au cœur de la roquette;Square de la Roquette 143 rue de la Roquette;centre social et culturel solidarité roquette;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBCpérimetre protection monuments historiques;Cabane grillagée bacs de culture composteurs récupérateur d'eau de pluie gite à insectes grainothèques;social@solidariteroquette.fr;;https://www.solidariteroquette.fr/;;;"{""coordinates"": [2.3844858580934627, 48.85898642845319], ""type"": ""Point""}";48.85898642845319, 2.3844858580934627
Jardin faure'midable;Résidence RIVP Elie Faure 21 rue du chaffault;Jardin Faure'midable;;Autre;Hors Ville de Paris;RIVP;;décaissement sur 30cm + géotextile+Terre Végétaleune zone stabilisée cabane composteurs récupérateur d'eau de pluie gite à insectes grainothèque;jardinfauremidable@gmail.com;;https://www.facebook.com/jardinfauremidable/;;;"{""coordinates"": [2.415202090563017, 48.84529587109845], ""type"": ""Point""}";48.84529587109845, 2.415202090563017
Jardin partagé choisi;Parc de Choisy rue Georges Eastman;Association jardin partagé choisi;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBC;cabane composteur Recupérateur d'eau;c.chauchot@sfr.fr;;;;;"{""coordinates"": [2.3591159048076378, 48.828959782001235], ""type"": ""Point""}";48.828959782001235, 2.3591159048076378
Le Jardin d'Augustin;6 rue Augustin Thierry;La Maison de la Place des Fêtes;;Autre;Hors Ville de Paris;Icf Habitat;;;jardinaugustin75019@gmail.com;;;;;"{""coordinates"": [2.3946041857847704, 48.876254098639954], ""type"": ""Point""}";48.876254098639954, 2.3946041857847704
Jardin Partagé du Square Ozanam;Square Ozanam - 18 rue Stanislas 75006;Jardin partagé du Square Ozanam;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;3 bacs de culture, coffre à outils;jardinpartageozanam@gmail.com;;;;;"{""coordinates"": [2.3273895239598645, 48.843197035916624], ""type"": ""Point""}";48.843197035916624, 2.3273895239598645
A la bonne herbe;place Marcel Achard;"""association Belle Ville ABV""(Centre socioculturel Belleville)";Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;cabane fruitiers en cordon;;;https://centresocioculturelbelleville.fr/;;;"{""coordinates"": [2.376348252856823, 48.873970419668545], ""type"": ""Point""}";48.873970419668545, 2.376348252856823
Le Poireau Agile;Jardin Villemin 6 rue des Récollets;Ville Mains Jardins;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUVEBC;composteurs Récupération d'eau cabane table de jardinage broyeur;ville_mains_jardins@yahoo.fr;;sites.google.com/site/poireauagile;;;"{""coordinates"": [2.3621850088244383, 48.87443394633443], ""type"": ""Point""}";48.87443394633443, 2.3621850088244383
La Baleine Verte;10 rue Erard;Autour de la baleine;Autre;Autre;Hors Ville de Paris;Paris Habitat;;bacs compost mare récupérateur d'eau de pluie gites à insectes nichoirs à oiseaux broyeur toiture végétalisée serre;labaleineverte12@gmail.com;;https://www.autourdelabaleine.fr/;;;"{""coordinates"": [2.3843881170367554, 48.84523845646623], ""type"": ""Point""}";48.84523845646623, 2.3843881170367554
Le Jardin de l'Echo;Jardin Debergue-rendez-vous 1 Cité Debergue;L'écho des Autres;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUV;composteur cabane;lechodesautres@gmail.com;;;;;"{""coordinates"": [2.4037703975411526, 48.84568095544368], ""type"": ""Point""}";48.84568095544368, 2.4037703975411526
La Maison Violette;Maison communale Violet 69 rue Violet;La Maison violette;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUGEVP;poulailler;jp.lamaisonviolette@gmail.com;;;;;"{""coordinates"": [2.291424656397191, 48.845610828659815], ""type"": ""Point""}";48.845610828659815, 2.291424656397191
Le jardin des coopains;Parc Clichy-Batignolles - Martin Luther-King, 11 bis Boulevard Berthier;Le jardin des coopains;Conseil de Paris;Conseil de Paris;Ville de Paris;DEVE;;cabane composteur Oyas;jardin.coopains@gmail.com;;;;;"{""coordinates"": [2.312168414976903, 48.893584509362576], ""type"": ""Point""}";48.893584509362576, 2.312168414976903
Jardin Ella Fitzgerald;12 rue Ella Fitzgerald;Potager 21;;Conseil de Paris;Ville de Paris;DEVE;;abris bois - recouvrement sol avec 15cm de TV - bacs de cultures;potager21association@gmail.com;;https://www.facebook.com/jardinellafitzgerald/;https://www.helloasso.com/associations/potager21;;"{""coordinates"": [2.3962535474624995, 48.896501258602804], ""type"": ""Point""}";48.896501258602804, 2.3962535474624995
Le 56;56 rue Saint Blaise;Le 56;;Autre;Hors Ville de Paris;Paris Habitat;ZUGEVP;composteur Récupération d'eau toilettes sèches abri ruches;le56contact@gmail.com;;https://56stblaise.wordpress.com/;;;"{""coordinates"": [2.4071345526884302, 48.85791712718219], ""type"": ""Point""}";48.85791712718219, 2.4071345526884302
Le Jardin sur le Toit;Gymnase des Vignoles 91 rue des Haies;Esperem;;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;composteur ruchette pédagogique poulailler;valerie.navarre@esperem.org;;https://esperem.org;;;"{""coordinates"": [2.403902891025342, 48.85524050254697], ""type"": ""Point""}";48.85524050254697, 2.403902891025342
Le Jardin d'Astrolabe;22 rue Pierre Gourdault;Le Jardin d’Astrolabe;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;;parcelles rehaussées, géotextile et apport de terre végétale - une clôture - un banc - un accès à l’eau - un abri à outils - 8 bacs de culture hors sol classique et;jardin-astrolabe@gmail.com;;;;;"{""coordinates"": [2.369943997999922, 48.83102496747717], ""type"": ""Point""}";48.83102496747717, 2.369943997999922
Jardin Bashung;16 rue de Jéssaint;La Goutte Verte;Conseil d'arrondissement;Conseil d'arrondissement;Ville de Paris;DEVE;ZUG;local et composteur;goutteverte@yahoo.fr;;;;;"{""coordinates"": [2.3562272617313655, 48.88545117079747], ""type"": ""Point""}";48.88545117079747, 2.3562272617313655
